[1742219335730678558] {"ok_rate":"0.00","green_blocked":false,"red_blocked":false,"reward":0}
[1742219335730689808] Wait
[1742219345751342813] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219345751396729] ToggleRed
[1742219355785299901] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219355785333401] ToggleGreen
[1742219365817404784] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219365817752408] Wait
[1742219375854376952] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219375854418693] ToggleGreen
[1742219385895560893] {"ok_rate":"32.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742219385895599180] Wait
[1742219395914405340] {"ok_rate":"22.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219395914440131] Wait
[1742219405940833592] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219405940902010] ToggleGreen
[1742219415977614198] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219415977650321] ToggleRed
[1742219426014998726] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219426015048696] ToggleRed
[1742219436050005779] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219436050044880] ToggleGreen
[1742219446086685869] {"ok_rate":"49.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742219446086701359] ToggleRed
[1742219456115832023] {"ok_rate":"21.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219456115857050] ToggleRed
[1742219466144398067] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219466144433588] ToggleGreen
[1742219476180369208] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219476180492259] Wait
[1742219486209981120] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219486210036478] ToggleGreen
[1742219496260152793] {"ok_rate":"31.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219496260727371] ToggleRed
[1742219506290846770] {"ok_rate":"21.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742219506290869722] Wait
[1742219516302122116] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219516302146484] ToggleRed
[1742219526333147410] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219526333233551] ToggleRed
[1742219536383771989] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219536383811977] ToggleRed
[1742219546418634260] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219546418673210] Wait
[1742219556446205640] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219556446239092] Wait
[1742219566467546060] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219566467636541] ToggleGreen
[1742219576507661765] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219576507720878] ToggleRed
[1742219586563015005] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219586563071035] ToggleRed
[1742219596588819489] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219596588855065] ToggleRed
[1742219606633763825] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219606633867606] ToggleRed
[1742219616669402124] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219616669465243] ToggleRed
[1742219626718523783] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219626718554072] ToggleGreen
[1742219636751448478] {"ok_rate":"50.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742219636751462185] ToggleRed
[1742219646778558672] {"ok_rate":"23.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219646778606542] ToggleGreen
[1742219656814648092] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219656814713627] ToggleGreen
[1742219666870500536] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219666870557739] ToggleGreen
[1742219676909984950] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219676910051360] Wait
[1742219686936192651] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219686936303431] Wait
[1742219696959339032] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219696959379278] ToggleGreen
[1742219706983135682] {"ok_rate":"50.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219706983152264] ToggleGreen
[1742219717010778031] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219717011169992] ToggleGreen
[1742219727037769589] {"ok_rate":"19.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742219727037795505] Wait
[1742219737054940468] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742219737054977302] Wait
[1742219747088806973] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219747088856015] ToggleGreen
[1742219757128606270] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219757131576561] ToggleRed
[1742219767211792899] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219767211866608] ToggleGreen
[1742219777236229821] {"ok_rate":"32.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219777236245738] ToggleGreen
[1742219787275378326] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219787275463034] Wait
[1742219797295354080] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219797295396039] Wait
[1742219807323450460] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219807323539585] ToggleGreen
[1742219817364161465] {"ok_rate":"49.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742219817364176632] ToggleGreen
[1742219827402086678] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219827402142553] ToggleGreen
[1742219837436428725] {"ok_rate":"19.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742219837436441266] ToggleRed
[1742219847455471229] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742219847455501396] Wait
[1742219857465852484] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742219857465885151] ToggleRed
[1742219867503644406] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219867503669281] ToggleGreen
[1742219877534607785] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219877534635702] Wait
[1742219887564307582] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219887564430498] ToggleGreen
[1742219897617827712] {"ok_rate":"31.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219897617930212] Wait
[1742219907643247966] {"ok_rate":"21.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742219907643300675] Wait
[1742219917678379971] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219917678440430] ToggleRed
[1742219927707125726] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742219927707181476] ToggleGreen
[1742219937731659606] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742219937731710981] ToggleRed
[1742219947782018069] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742219947782042569] ToggleGreen
[1742219957840930240] {"ok_rate":"31.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742219957845118449] ToggleRed
[1742219967895949662] {"ok_rate":"21.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742219967896008662] Wait
[1742219977929004917] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219977929082208] Wait
[1742219987953483671] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742219987953554088] ToggleRed
